[watts] 4.2, [volts] 123.2, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 191.1, [mo. cost] 15.2, [max watts] 4.2, [max volts] 123.2, [max amps] 0.071, [min watts] 4.2, [min volts] 122.9, [min amps] 0.070, [power factor] 46.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.2, [volts] 123.2, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 192.3, [mo. cost] 15.3, [max watts] 4.2, [max volts] 123.2, [max amps] 0.072, [min watts] 4.2, [min volts] 123.0, [min amps] 0.070, [power factor] 46.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.3, [volts] 123.2, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 193.5, [mo. cost] 15.4, [max watts] 4.3, [max volts] 123.2, [max amps] 0.072, [min watts] 4.2, [min volts] 123.0, [min amps] 0.070, [power factor] 45.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
[watts] 4.3, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 194.6, [mo. cost] 15.5, [max watts] 4.3, [max volts] 123.2, [max amps] 0.072, [min watts] 4.3, [min volts] 123.0, [min amps] 0.070, [power factor] 47.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.3, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 195.4, [mo. cost] 15.6, [max watts] 4.3, [max volts] 123.1, [max amps] 0.072, [min watts] 4.3, [min volts] 122.9, [min amps] 0.069, [power factor] 47.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.3, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 196.2, [mo. cost] 15.6, [max watts] 4.3, [max volts] 123.1, [max amps] 0.071, [min watts] 4.3, [min volts] 123.0, [min amps] 0.069, [power factor] 47.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.4, [volts] 123.2, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 196.9, [mo. cost] 15.7, [max watts] 4.4, [max volts] 123.2, [max amps] 0.072, [min watts] 4.3, [min volts] 123.0, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.4, [volts] 123.2, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 197.6, [mo. cost] 15.8, [max watts] 4.4, [max volts] 123.2, [max amps] 0.072, [min watts] 4.4, [min volts] 123.0, [min amps] 0.070, [power factor] 46.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.4, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 198.3, [mo. cost] 15.8, [max watts] 4.4, [max volts] 123.2, [max amps] 0.072, [min watts] 4.4, [min volts] 122.9, [min amps] 0.069, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.4, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 198.9, [mo. cost] 15.9, [max watts] 4.4, [max volts] 123.2, [max amps] 0.071, [min watts] 4.4, [min volts] 122.9, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.4, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 199.5, [mo. cost] 15.9, [max watts] 4.4, [max volts] 123.1, [max amps] 0.072, [min watts] 4.4, [min volts] 122.9, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.4, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 200.6, [mo. cost] 16.0, [max watts] 4.4, [max volts] 123.1, [max amps] 0.072, [min watts] 4.4, [min volts] 122.9, [min amps] 0.070, [power factor] 46.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.4, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 201.4, [mo. cost] 16.1, [max watts] 4.4, [max volts] 123.2, [max amps] 0.072, [min watts] 4.4, [min volts] 122.9, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.4, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 202.0, [mo. cost] 16.1, [max watts] 4.4, [max volts] 123.1, [max amps] 0.070, [min watts] 4.4, [min volts] 122.9, [min amps] 0.069, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.4, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 202.5, [mo. cost] 16.2, [max watts] 4.4, [max volts] 123.1, [max amps] 0.072, [min watts] 4.4, [min volts] 123.0, [min amps] 0.069, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.5, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 203.2, [mo. cost] 16.2, [max watts] 4.5, [max volts] 123.2, [max amps] 0.073, [min watts] 4.4, [min volts] 122.9, [min amps] 0.069, [power factor] 47.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.4, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 203.9, [mo. cost] 16.3, [max watts] 4.5, [max volts] 123.1, [max amps] 0.072, [min watts] 4.4, [min volts] 122.9, [min amps] 0.069, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.5, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 204.6, [mo. cost] 16.3, [max watts] 4.5, [max volts] 123.2, [max amps] 0.072, [min watts] 4.4, [min volts] 122.9, [min amps] 0.070, [power factor] 49.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.5, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 205.3, [mo. cost] 16.4, [max watts] 4.5, [max volts] 123.1, [max amps] 0.072, [min watts] 4.5, [min volts] 122.9, [min amps] 0.069, [power factor] 49.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.5, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 205.7, [mo. cost] 16.4, [max watts] 4.5, [max volts] 123.1, [max amps] 0.071, [min watts] 4.5, [min volts] 122.9, [min amps] 0.069, [power factor] 47.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.5, [volts] 123.2, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 206.3, [mo. cost] 16.5, [max watts] 4.5, [max volts] 123.2, [max amps] 0.071, [min watts] 4.5, [min volts] 122.9, [min amps] 0.069, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 4.5, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 206.7, [mo. cost] 16.5, [max watts] 4.5, [max volts] 123.2, [max amps] 0.072, [min watts] 4.5, [min volts] 122.8, [min amps] 0.069, [power factor] 47.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.5, [volts] 123.1, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 207.3, [mo. cost] 16.5, [max watts] 4.5, [max volts] 123.1, [max amps] 0.072, [min watts] 4.5, [min volts] 122.9, [min amps] 0.069, [power factor] 49.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.5, [volts] 123.1, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 207.6, [mo. cost] 16.6, [max watts] 4.5, [max volts] 123.1, [max amps] 0.072, [min watts] 4.5, [min volts] 122.9, [min amps] 0.070, [power factor] 49.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.5, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 208.2, [mo. cost] 16.6, [max watts] 4.5, [max volts] 123.2, [max amps] 0.072, [min watts] 4.5, [min volts] 123.0, [min amps] 0.070, [power factor] 47.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
