[watts] 3.1, [volts] 122.9, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 216.8, [mo. cost] 17.3, [max watts] 3.1, [max volts] 122.9, [max amps] 0.074, [min watts] 2.9, [min volts] 122.7, [min amps] 0.071, [power factor] 32.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 3.3, [volts] 122.9, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 217.0, [mo. cost] 17.3, [max watts] 3.3, [max volts] 123.1, [max amps] 0.073, [min watts] 3.1, [min volts] 122.8, [min amps] 0.071, [power factor] 35.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 3.4, [volts] 122.8, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 217.5, [mo. cost] 17.4, [max watts] 3.4, [max volts] 122.9, [max amps] 0.073, [min watts] 3.3, [min volts] 122.7, [min amps] 0.071, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
[watts] 3.6, [volts] 122.8, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 217.9, [mo. cost] 17.4, [max watts] 3.6, [max volts] 123.0, [max amps] 0.073, [min watts] 3.4, [min volts] 122.7, [min amps] 0.070, [power factor] 38.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 3.7, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 218.1, [mo. cost] 17.4, [max watts] 3.7, [max volts] 123.0, [max amps] 0.073, [min watts] 3.6, [min volts] 122.8, [min amps] 0.071, [power factor] 40.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.8, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 218.4, [mo. cost] 17.4, [max watts] 3.8, [max volts] 123.0, [max amps] 0.073, [min watts] 3.7, [min volts] 122.8, [min amps] 0.071, [power factor] 40.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 3.9, [volts] 122.9, [amps] 0.073, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 218.6, [mo. cost] 17.4, [max watts] 3.9, [max volts] 123.0, [max amps] 0.073, [min watts] 3.8, [min volts] 122.8, [min amps] 0.070, [power factor] 42.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.0, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 218.9, [mo. cost] 17.5, [max watts] 4.0, [max volts] 123.0, [max amps] 0.073, [min watts] 3.9, [min volts] 122.8, [min amps] 0.071, [power factor] 42.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
[watts] 4.0, [volts] 123.0, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 219.1, [mo. cost] 17.5, [max watts] 4.0, [max volts] 123.0, [max amps] 0.072, [min watts] 4.0, [min volts] 122.9, [min amps] 0.071, [power factor] 42.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.1, [volts] 122.9, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 219.4, [mo. cost] 17.5, [max watts] 4.1, [max volts] 123.1, [max amps] 0.073, [min watts] 4.0, [min volts] 122.8, [min amps] 0.070, [power factor] 45.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
