Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:48:42   8.5   0.0  10.8  80.7   0.0    3   2606   2316   0.00E
13:48:43  13.2   0.0  17.2  69.6   0.0    3   3066   2648   0.00E
13:48:43   9.4   0.0  10.1  80.5   0.0    2   3162   2488   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:48:44  12.8   0.0  19.3  67.8   0.0    5   3186   2788   0.00E
13:48:44   9.3   0.0   9.1  81.3   0.3    3   2678   2330   0.00E
13:48:45  12.8   0.0  18.6  68.5   0.0    1   3146   2686   0.00E
13:48:45   8.9   0.0  12.4  78.5   0.3    4   3836   2490   0.00E
13:48:46  12.4   0.0  15.7  71.9   0.0    2   3120   2604   0.00E
13:48:46  11.1   0.0  14.4  74.5   0.0    5   3140   2570   0.00E
13:48:47  14.6   0.0  11.6  73.8   0.0    2   3260   2678   0.00E
13:48:47  12.3   0.0  16.3  71.4   0.0    5   3154   2870   0.00E
13:48:48  10.4   0.0  10.9  78.4   0.3    2   3854   2786   0.00E
13:48:48  12.8   0.0  19.6  67.3   0.3    6   2918   2956   0.00E
